nSoil_Types	1571
ID	CLAY[%]	SAND[%]	Bd_mu[gcm-3]	nSamples
1	17	48	0.9	1
2	17	49	0.9	2
3	17	50	0.9	3
4	17	51	0.9	4
5	17	52	0.9	5
6	17	53	0.9	6
7	17	54	0.9	7
8	17	55	0.9	8
9	17	56	0.9	9
10	17	57	0.9	10
11	18	42	0.9	11
12	18	43	0.9	12
13	18	44	0.9	13
14	18	45	0.9	14
15	18	46	0.9	15
16	18	47	0.9	16
17	18	48	0.9	17
18	18	49	0.9	18
19	18	50	0.9	19
20	18	51	0.9	20
21	18	52	0.9	21
22	18	53	0.9	22
23	18	54	0.9	23
24	18	55	0.9	24
25	18	56	0.9	25
26	19	41	0.9	26
27	19	42	0.9	27
28	19	43	0.9	28
29	19	44	0.9	29
30	19	45	0.9	30
31	19	46	0.9	31
32	19	47	0.9	32
33	19	48	0.9	33
34	19	49	0.9	34
35	19	50	0.9	35
36	19	51	0.9	36
37	19	52	0.9	37
38	19	53	0.9	38
39	19	54	0.9	39
40	20	41	0.9	40
41	20	42	0.9	41
42	20	43	0.9	42
43	20	44	0.9	43
44	20	45	0.9	44
45	20	46	0.9	45
46	20	47	0.9	46
47	20	48	0.9	47
48	20	49	0.9	48
49	20	50	0.9	49
50	20	51	0.9	50
51	20	52	0.9	51
52	20	53	0.9	52
53	20	54	0.9	53
54	20	55	0.9	54
55	21	40	0.9	55
56	21	41	0.9	56
57	21	42	0.9	57
58	21	43	0.9	58
59	21	44	0.9	59
60	21	45	0.9	60
61	21	46	0.9	61
62	21	47	0.9	62
63	21	48	0.9	63
64	21	49	0.9	64
65	21	50	0.9	65
66	21	51	0.9	66
67	21	52	0.9	67
68	22	39	0.9	68
69	22	40	0.9	69
70	22	41	0.9	70
71	22	42	0.9	71
72	22	43	0.9	72
73	22	44	0.9	73
74	22	45	0.9	74
75	22	46	0.9	75
76	22	47	0.9	76
77	22	48	0.9	77
78	22	49	0.9	78
79	22	50	0.9	79
80	22	51	0.9	80
81	22	52	0.9	81
82	23	39	0.9	82
83	23	40	0.9	83
84	23	41	0.9	84
85	23	42	0.9	85
86	23	43	0.9	86
87	23	44	0.9	87
88	23	46	0.9	88
89	23	47	0.9	89
90	24	38	0.9	90
91	24	39	0.9	91
92	24	40	0.9	92
93	24	41	0.9	93
94	24	42	0.9	94
95	24	43	0.9	95
96	24	44	0.9	96
97	25	42	0.9	97
98	25	43	0.9	98
99	14	49	1	99
100	15	44	1	100
101	15	45	1	101
102	15	46	1	102
103	15	47	1	103
104	15	48	1	104
105	15	49	1	105
106	15	50	1	106
107	15	57	1	107
108	15	59	1	108
109	16	42	1	109
110	16	43	1	110
111	16	44	1	111
112	16	45	1	112
113	16	46	1	113
114	16	47	1	114
115	16	48	1	115
116	16	49	1	116
117	16	50	1	117
118	16	51	1	118
119	16	52	1	119
120	16	53	1	120
121	16	54	1	121
122	16	55	1	122
123	16	56	1	123
124	16	57	1	124
125	16	58	1	125
126	16	59	1	126
127	16	60	1	127
128	17	40	1	128
129	17	41	1	129
130	17	42	1	130
131	17	43	1	131
132	17	44	1	132
133	17	45	1	133
134	17	46	1	134
135	17	47	1	135
136	17	48	1	136
137	17	49	1	137
138	17	50	1	138
139	17	51	1	139
140	17	52	1	140
141	17	53	1	141
142	17	54	1	142
143	17	55	1	143
144	17	56	1	144
145	17	57	1	145
146	17	58	1	146
147	17	59	1	147
148	17	60	1	148
149	18	41	1	149
150	18	42	1	150
151	18	43	1	151
152	18	44	1	152
153	18	45	1	153
154	18	46	1	154
155	18	47	1	155
156	18	48	1	156
157	18	49	1	157
158	18	50	1	158
159	18	51	1	159
160	18	52	1	160
161	18	53	1	161
162	18	54	1	162
163	18	55	1	163
164	18	56	1	164
165	18	57	1	165
166	18	58	1	166
167	18	59	1	167
168	19	40	1	168
169	19	41	1	169
170	19	42	1	170
171	19	43	1	171
172	19	44	1	172
173	19	45	1	173
174	19	46	1	174
175	19	47	1	175
176	19	48	1	176
177	19	49	1	177
178	19	50	1	178
179	19	51	1	179
180	19	52	1	180
181	19	53	1	181
182	19	54	1	182
183	19	55	1	183
184	19	56	1	184
185	19	57	1	185
186	19	58	1	186
187	20	38	1	187
188	20	39	1	188
189	20	40	1	189
190	20	41	1	190
191	20	42	1	191
192	20	43	1	192
193	20	44	1	193
194	20	45	1	194
195	20	46	1	195
196	20	47	1	196
197	20	48	1	197
198	20	49	1	198
199	20	50	1	199
200	20	51	1	200
201	20	52	1	201
202	20	53	1	202
203	20	54	1	203
204	20	55	1	204
205	20	56	1	205
206	21	37	1	206
207	21	38	1	207
208	21	39	1	208
209	21	40	1	209
210	21	41	1	210
211	21	42	1	211
212	21	43	1	212
213	21	44	1	213
214	21	45	1	214
215	21	46	1	215
216	21	47	1	216
217	21	48	1	217
218	21	49	1	218
219	21	50	1	219
220	21	51	1	220
221	21	52	1	221
222	21	53	1	222
223	21	54	1	223
224	21	55	1	224
225	22	37	1	225
226	22	38	1	226
227	22	39	1	227
228	22	40	1	228
229	22	41	1	229
230	22	42	1	230
231	22	43	1	231
232	22	44	1	232
233	22	45	1	233
234	22	46	1	234
235	22	47	1	235
236	22	48	1	236
237	22	49	1	237
238	22	50	1	238
239	22	51	1	239
240	22	52	1	240
241	22	53	1	241
242	23	36	1	242
243	23	37	1	243
244	23	38	1	244
245	23	39	1	245
246	23	40	1	246
247	23	41	1	247
248	23	42	1	248
249	23	43	1	249
250	23	44	1	250
251	23	45	1	251
252	23	46	1	252
253	23	47	1	253
254	23	48	1	254
255	23	49	1	255
256	23	50	1	256
257	23	51	1	257
258	23	52	1	258
259	23	53	1	259
260	24	36	1	260
261	24	37	1	261
262	24	38	1	262
263	24	39	1	263
264	24	40	1	264
265	24	41	1	265
266	24	42	1	266
267	24	43	1	267
268	24	44	1	268
269	24	45	1	269
270	24	46	1	270
271	24	47	1	271
272	24	48	1	272
273	24	50	1	273
274	25	36	1	274
275	25	37	1	275
276	25	38	1	276
277	25	39	1	277
278	25	40	1	278
279	25	41	1	279
280	25	42	1	280
281	25	43	1	281
282	25	44	1	282
283	26	37	1	283
284	26	38	1	284
285	26	39	1	285
286	26	40	1	286
287	26	41	1	287
288	26	42	1	288
289	26	43	1	289
290	27	37	1	290
291	27	41	1	291
292	15	53	1.1	292
293	15	54	1.1	293
294	15	55	1.1	294
295	15	56	1.1	295
296	15	57	1.1	296
297	15	58	1.1	297
298	15	59	1.1	298
299	15	60	1.1	299
300	15	62	1.1	300
301	16	45	1.1	301
302	16	48	1.1	302
303	16	50	1.1	303
304	16	51	1.1	304
305	16	52	1.1	305
306	16	53	1.1	306
307	16	54	1.1	307
308	16	55	1.1	308
309	16	56	1.1	309
310	16	57	1.1	310
311	16	58	1.1	311
312	16	59	1.1	312
313	16	60	1.1	313
314	16	61	1.1	314
315	17	40	1.1	315
316	17	42	1.1	316
317	17	43	1.1	317
318	17	44	1.1	318
319	17	45	1.1	319
320	17	46	1.1	320
321	17	47	1.1	321
322	17	48	1.1	322
323	17	49	1.1	323
324	17	50	1.1	324
325	17	51	1.1	325
326	17	52	1.1	326
327	17	53	1.1	327
328	17	54	1.1	328
329	17	55	1.1	329
330	17	56	1.1	330
331	17	57	1.1	331
332	17	58	1.1	332
333	17	59	1.1	333
334	18	38	1.1	334
335	18	39	1.1	335
336	18	40	1.1	336
337	18	41	1.1	337
338	18	42	1.1	338
339	18	43	1.1	339
340	18	44	1.1	340
341	18	45	1.1	341
342	18	46	1.1	342
