      nSoil_Types           37543                
         ID    CLAY[%]    SAND[%]    Bd_mu[gcm-3]    nSamples
          1          1         51             0.8           1
          2          1         53             0.7           1
          3          1         89             1.6           1
          4          1         91             1.7           1
          5          1         92             1.7           1
          6          1         93             1.6           3
          7          1         96             1.5           2
          8          1         96             1.6           1
          9          1         97             1.6           1
         10          2         52             0.9           1
         11          2         53             0.8           1
         12          2         54             0.7           1
         13          2         55             0.7           4
         14          2         55             0.8           1
         15          2         55             0.9           2
         16          2         55               1           3
         17          2         56             0.7           1
         18          2         56             0.8           5
         19          2         56             0.9           2
         20          2         56               1           2
         21          2         57             0.7           4
         22          2         57             0.8           5
         23          2         57               1           1
         24          2         58             0.7           1
         25          2         58             0.9           2
         26          2         58               1           1
         27          2         59             0.7           1
         28          2         59             0.8           1
         29          2         59             0.9           3
         30          2         60             0.7           2
         31          2         60             0.8           2
         32          2         60             0.9           1
         33          2         61             0.6           3
         34          2         61             0.7           1
         35          2         61             0.8           1
         36          2         62             0.6           2
         37          2         62             0.8           1
         38          2         63             0.7           2
         39          2         63             0.9           5
         40          2         64             0.6           1
         41          2         64             0.7           7
         42          2         64             0.8           3
         43          2         64             0.9           1
         44          2         64               1           1
         45          2         65             0.7           5
         46          2         65             0.8           3
         47          2         65             0.9           4
         48          2         65               1           1
         49          2         66             0.6           1
         50          2         66             0.7           1
         51          2         66             0.8           2
         52          2         66             0.9           2
         53          2         67             0.6           4
         54          2         67             0.7           2
         55          2         67             0.8           3
         56          2         67             0.9           1
         57          2         68             0.6           4
         58          2         68             0.7           2
         59          2         68             0.8           2
         60          2         68             0.9           1
         61          2         69             0.6           5
         62          2         69             0.7           9
         63          2         69             0.8           3
         64          2         69             0.9           1
         65          2         70             0.6           1
         66          2         70             0.7           2
         67          2         70             0.8           2
         68          2         70             0.9           1
         69          2         71             0.6           1
         70          2         71             0.7           6
         71          2         71             0.8           2
         72          2         71             0.9           2
         73          2         71             1.1           1
         74          2         72             0.6           1
         75          2         72             0.7           4
         76          2         72             0.8           2
         77          2         73             0.7           4
         78          2         73             1.1           1
         79          2         74             0.6           1
         80          2         74             0.7           3
         81          2         75             0.6           1
         82          2         76             1.3           1
         83          2         77             0.5           2
         84          2         77             0.6           2
         85          2         77             0.8           1
         86          2         77             0.9           1
         87          2         77               1           2
         88          2         77             1.1           1
         89          2         78             0.5           1
         90          2         78             0.6           1
         91          2         78             0.7           1
         92          2         78             0.9           2
         93          2         78               1           2
         94          2         78             1.1           1
         95          2         78             1.2           1
         96          2         79               1           1
         97          2         79             1.2           1
         98          2         80             0.9           2
         99          2         82               1           1
        100          2         83             1.2           1
        101          2         84             1.2           2
        102          2         84             1.3           1
        103          2         85             1.2           1
        104          2         85             1.3           1
        105          2         86             1.3           1
        106          2         87             1.3           1
        107          2         92             1.5           1
        108          2         93             1.5           2
        109          2         94             1.4           2
        110          2         95             1.4           1
        111          2         95             1.5           2
        112          3         42             0.6           1
        113          3         42             0.7           1
        114          3         43             0.6           1
        115          3         43             0.7           1
        116          3         45             0.6           4
        117          3         45             0.7           2
        118          3         46             0.6           3
        119          3         46             0.7          12
        120          3         47             0.6           5
        121          3         47             0.7           9
        122          3         47             0.8           2
        123          3         48             0.6           3
        124          3         48             0.7          19
        125          3         48             0.8           7
        126          3         48             0.9           1
        127          3         48               1           1
        128          3         49             0.7          23
        129          3         49             0.8           4
        130          3         49               1           1
        131          3         50             0.6           3
        132          3         50             0.7          24
        133          3         50             0.8           8
        134          3         50             0.9           2
        135          3         50               1           2
        136          3         51             0.6          10
        137          3         51             0.7          39
        138          3         51             0.8          14
        139          3         51             0.9           2
        140          3         51               1           1
        141          3         52             0.6          13
        142          3         52             0.7          38
        143          3         52             0.8          25
        144          3         52             0.9           1
        145          3         52               1           3
        146          3         53             0.6          16
        147          3         53             0.7          61
        148          3         53             0.8          38
        149          3         53             0.9          23
        150          3         53               1          11
        151          3         54             0.6          15
        152          3         54             0.7          81
        153          3         54             0.8          58
        154          3         54             0.9          34
        155          3         54               1          34
        156          3         54             1.1           8
        157          3         55             0.5           1
        158          3         55             0.6          44
        159          3         55             0.7         118
        160          3         55             0.8         108
        161          3         55             0.9          88
        162          3         55               1          46
        163          3         55             1.1           9
        164          3         55             1.2           6
        165          3         55             1.3           1
        166          3         56             0.5           1
        167          3         56             0.6          37
        168          3         56             0.7         150
        169          3         56             0.8         100
        170          3         56             0.9          85
        171          3         56               1          87
        172          3         56             1.1           8
        173          3         56             1.2           2
        174          3         57             0.5           2
        175          3         57             0.6          65
        176          3         57             0.7         135
        177          3         57             0.8          84
        178          3         57             0.9          58
        179          3         57               1          50
        180          3         57             1.1           8
        181          3         57             1.2           2
        182          3         58             0.5           7
        183          3         58             0.6          61
        184          3         58             0.7         121
        185          3         58             0.8          62
        186          3         58             0.9          46
        187          3         58               1          32
        188          3         58             1.1           5
        189          3         59             0.5           4
        190          3         59             0.6          61
        191          3         59             0.7         129
        192          3         59             0.8          87
        193          3         59             0.9          37
        194          3         59               1          21
        195          3         59             1.1           6
        196          3         59             1.2           1
        197          3         60             0.5           2
        198          3         60             0.6          68
        199          3         60             0.7         126
        200          3         60             0.8          77
        201          3         60             0.9          41
        202          3         60               1          34
        203          3         60             1.1           4
        204          3         60             1.2           3
        205          3         60             1.3           1
        206          3         61             0.5           2
        207          3         61             0.6          65
        208          3         61             0.7         118
        209          3         61             0.8         111
        210          3         61             0.9          47
        211          3         61               1          16
        212          3         61             1.1           5
        213          3         61             1.2           1
        214          3         61             1.5           1
        215          3         61             1.7           1
        216          3         62             0.5           2
        217          3         62             0.6          70
        218          3         62             0.7         117
        219          3         62             0.8         107
        220          3         62             0.9          54
        221          3         62               1          36
        222          3         62             1.1           5
        223          3         62             1.2           1
        224          3         62             1.3           2
        225          3         62             1.5           1
        226          3         63             0.5           3
        227          3         63             0.6          56
        228          3         63             0.7         143
        229          3         63             0.8         124
        230          3         63             0.9          60
        231          3         63               1          44
        232          3         63             1.1          10
        233          3         63             1.2           1
        234          3         63             1.3           1
        235          3         64             0.6          64
        236          3         64             0.7         139
        237          3         64             0.8         100
        238          3         64             0.9          73
        239          3         64               1          55
        240          3         64             1.1           9
        241          3         64             1.2           5
        242          3         65             0.6          62
        243          3         65             0.7         156
        244          3         65             0.8         116
        245          3         65             0.9          76
        246          3         65               1          52
        247          3         65             1.1          12
        248          3         65             1.2           4
        249          3         65             1.3           1
        250          3         66             0.6          91
        251          3         66             0.7         210
        252          3         66             0.8         119
        253          3         66             0.9          83
        254          3         66               1          38
        255          3         66             1.1           9
        256          3         66             1.2           3
        257          3         67             0.5           2
        258          3         67             0.6         126
        259          3         67             0.7         285
        260          3         67             0.8         158
        261          3         67             0.9          82
        262          3         67               1          32
        263          3         67             1.1           6
        264          3         67             1.2           2
        265          3         67             1.3           2
        266          3         67             1.5           1
        267          3         68             0.6         187
        268          3         68             0.7         356
        269          3         68             0.8         190
        270          3         68             0.9         118
        271          3         68               1          38
        272          3         68             1.1           9
        273          3         68             1.2           8
        274          3         68             1.3           1
        275          3         68             1.4           3
        276          3         69             0.5           4
        277          3         69             0.6         192
        278          3         69             0.7         337
        279          3         69             0.8         187
        280          3         69             0.9          81
        281          3         69               1          41
        282          3         69             1.1          17
        283          3         69             1.2           6
        284          3         69             1.3           2
        285          3         69             1.4           1
        286          3         70             0.5           7
        287          3         70             0.6         202
        288          3         70             0.7         397
        289          3         70             0.8         212
        290          3         70             0.9          75
        291          3         70               1          22
        292          3         70             1.1          12
        293          3         70             1.2           4
        294          3         70             1.3           1
        295          3         71             0.5           9
        296          3         71             0.6         195
        297          3         71             0.7         402
        298          3         71             0.8         164
        299          3         71             0.9          59
        300          3         71               1          34
        301          3         71             1.1          11
        302          3         71             1.2           5
        303          3         71             1.3           1
        304          3         72             0.5           7
        305          3         72             0.6         182
        306          3         72             0.7         325
        307          3         72             0.8         125
        308          3         72             0.9          40
        309          3         72               1          18
        310          3         72             1.1          13
        311          3         72             1.2          10
        312          3         72             1.3           1
        313          3         73             0.5           6
        314          3         73             0.6         152
        315          3         73             0.7         281
        316          3         73             0.8          74
        317          3         73             0.9          37
        318          3         73               1          15
        319          3         73             1.1          11
        320          3         73             1.2           6
        321          3         73             1.4           2
        322          3         74             0.5           1
        323          3         74             0.6          78
        324          3         74             0.7         184
        325          3         74             0.8          56
        326          3         74             0.9          19
        327          3         74               1          11
        328          3         74             1.1          10
        329          3         74             1.2           3
        330          3         74             1.3           4
        331          3         75             0.6          54
        332          3         75             0.7          86
        333          3         75             0.8          31
        334          3         75             0.9           6
        335          3         75               1           7
        336          3         75             1.1           6
        337          3         75             1.2           3
        338          3         76             0.5           1
        339          3         76             0.6          24
        340          3         76             0.7          55
        341          3         76             0.8          24
        342          3         76             0.9           2
        343          3         76               1           2
        344          3         76             1.1           3
        345          3         76             1.2           2
        346          3         76             1.3           2
        347          3         76             1.4           1
        348          3         77             0.6           4
        349          3         77             0.7          14
        350          3         77             0.8          10
        351          3         77             0.9           1
        352          3         77               1           3
        353          3         77             1.1           3
        354          3         77             1.2           1
        355          3         77             1.3           1
        356          3         77             1.4           2
        357          3         77             1.6           1
        358          3         78             0.6           2
        359          3         78             0.7           6
        360          3         78             0.8           2
        361          3         78             0.9           1
        362          3         78             1.1           3
        363          3         78             1.2           3
        364          3         78             1.4           1
        365          3         79             0.7           1
        366          3         79               1           2
        367          3         79             1.2           4
        368          3         79             1.4           4
        369          3         80             0.7           1
        370          3         80               1           2
        371          3         80             1.1           2
        372          3         80             1.2           1
