time,depth,SM,sitename
7/7/2021,10,0.302,BN-PLAYABLANCA
7/7/2021,40,0.2592,BN-PLAYABLANCA
7/7/2021,70,0.2946,BN-PLAYABLANCA
7/7/2021,120,0.2332,BN-PLAYABLANCA
7/7/2021,170,0.2812,BN-PLAYABLANCA
7/8/2021,10,0.31425,BN-PLAYABLANCA
7/8/2021,40,0.260083333,BN-PLAYABLANCA
7/8/2021,70,0.296166667,BN-PLAYABLANCA
7/8/2021,120,0.235,BN-PLAYABLANCA
7/8/2021,170,0.283,BN-PLAYABLANCA
7/9/2021,10,0.371291667,BN-PLAYABLANCA
7/9/2021,40,0.282458333,BN-PLAYABLANCA
7/9/2021,70,0.313708333,BN-PLAYABLANCA
7/9/2021,120,0.235,BN-PLAYABLANCA
7/9/2021,170,0.283,BN-PLAYABLANCA
7/10/2021,10,0.350625,BN-PLAYABLANCA
7/10/2021,40,0.280208333,BN-PLAYABLANCA
7/10/2021,70,0.322125,BN-PLAYABLANCA
7/10/2021,120,0.2385,BN-PLAYABLANCA
7/10/2021,170,0.283291667,BN-PLAYABLANCA
7/11/2021,10,0.341083333,BN-PLAYABLANCA
7/11/2021,40,0.276958333,BN-PLAYABLANCA
7/11/2021,70,0.318958333,BN-PLAYABLANCA
7/11/2021,120,0.241875,BN-PLAYABLANCA
7/11/2021,170,0.285875,BN-PLAYABLANCA
7/12/2021,10,0.335916667,BN-PLAYABLANCA
7/12/2021,40,0.274791667,BN-PLAYABLANCA
7/12/2021,70,0.316166667,BN-PLAYABLANCA
7/12/2021,120,0.243,BN-PLAYABLANCA
7/12/2021,170,0.289458333,BN-PLAYABLANCA
7/13/2021,10,0.3325,BN-PLAYABLANCA
7/13/2021,40,0.273333333,BN-PLAYABLANCA
7/13/2021,70,0.313958333,BN-PLAYABLANCA
7/13/2021,120,0.242333333,BN-PLAYABLANCA
7/13/2021,170,0.291458333,BN-PLAYABLANCA
7/14/2021,10,0.329875,BN-PLAYABLANCA
7/14/2021,40,0.272083333,BN-PLAYABLANCA
7/14/2021,70,0.312375,BN-PLAYABLANCA
