sitename,time,layer,m,season,model,mean
BN-DIEGO-ALTO,2018-01-10,L1,1,Release,Obs,0.268452328515721
BN-DIEGO-ALTO,2018-01-10,L1,1,Release,CLSM,0.25582179575107594
BN-DIEGO-ALTO,2018-01-10,L1,1,Release,FAO,0.3093063968207181
BN-DIEGO-ALTO,2018-01-10,L1,1,Release,SG,0.2981933136629899
BN-DIEGO-ALTO,2018-01-10,L2,1,Release,Obs,0.26681027925803324
BN-DIEGO-ALTO,2018-01-10,L2,1,Release,CLSM,0.32220813314558433
BN-DIEGO-ALTO,2018-01-10,L2,1,Release,FAO,0.36169292362136446
BN-DIEGO-ALTO,2018-01-10,L2,1,Release,SG,0.42467366831176995
BN-DIEGO-ALTO,2018-03-08,L1,3,Release,Obs,0.26421233595577504
BN-DIEGO-ALTO,2018-03-08,L1,3,Release,CLSM,0.22257787638369006
BN-DIEGO-ALTO,2018-03-08,L1,3,Release,FAO,0.2943670872240102
BN-DIEGO-ALTO,2018-03-08,L1,3,Release,SG,0.23144833393609843
BN-DIEGO-ALTO,2018-03-08,L2,3,Release,Obs,0.26132088755034494
BN-DIEGO-ALTO,2018-03-08,L2,3,Release,CLSM,0.28097872826428505
BN-DIEGO-ALTO,2018-03-08,L2,3,Release,FAO,0.3231601945075537
BN-DIEGO-ALTO,2018-03-08,L2,3,Release,SG,0.39610535768918803
BN-DIEGO-ALTO,2018-04-05,L1,4,Release,Obs,0.21728504462037024
BN-DIEGO-ALTO,2018-04-05,L1,4,Release,CLSM,0.2336275854638318
BN-DIEGO-ALTO,2018-04-05,L1,4,Release,FAO,0.30682455795944796
BN-DIEGO-ALTO,2018-04-05,L1,4,Release,SG,0.23553553157796456
BN-DIEGO-ALTO,2018-04-05,L2,4,Release,Obs,0.2156337588162695
BN-DIEGO-ALTO,2018-04-05,L2,4,Release,CLSM,0.27342020112827065
BN-DIEGO-ALTO,2018-04-05,L2,4,Release,FAO,0.31688440112323457
BN-DIEGO-ALTO,2018-04-05,L2,4,Release,SG,0.3893949941824009
BN-DIEGO-ALTO,2018-05-25,L1,5,Accumulation,Obs,0.2197280960138471
BN-DIEGO-ALTO,2018-05-25,L1,5,Accumulation,CLSM,0.2621350090407784
BN-DIEGO-ALTO,2018-05-25,L1,5,Accumulation,FAO,0.3332488902910356
BN-DIEGO-ALTO,2018-05-25,L1,5,Accumulation,SG,0.2590615091675181
BN-DIEGO-ALTO,2018-05-25,L2,5,Accumulation,Obs,0.2149678553815509
BN-DIEGO-ALTO,2018-05-25,L2,5,Accumulation,CLSM,0.2681259015358398
BN-DIEGO-ALTO,2018-05-25,L2,5,Accumulation,FAO,0.31279052737906726
BN-DIEGO-ALTO,2018-05-25,L2,5,Accumulation,SG,0.3841592716816108
BN-DIEGO-ALTO,2018-06-28,L1,6,Accumulation,Obs,0.26283077910177
BN-DIEGO-ALTO,2018-06-28,L1,6,Accumulation,CLSM,0.34677863746291043
BN-DIEGO-ALTO,2018-06-28,L1,6,Accumulation,FAO,0.4147789343331305
BN-DIEGO-ALTO,2018-06-28,L1,6,Accumulation,SG,0.34470493509473865
BN-DIEGO-ALTO,2018-06-28,L2,6,Accumulation,Obs,0.25600479999102926
BN-DIEGO-ALTO,2018-06-28,L2,6,Accumulation,CLSM,0.2710698593773187
BN-DIEGO-ALTO,2018-06-28,L2,6,Accumulation,FAO,0.31662386951178273
BN-DIEGO-ALTO,2018-06-28,L2,6,Accumulation,SG,0.3860056026996893
BN-DIEGO-ALTO,2018-07-02,L1,7,Accumulation,Obs,0.20537080285217504
BN-DIEGO-ALTO,2018-07-02,L1,7,Accumulation,CLSM,0.3651711456505145
BN-DIEGO-ALTO,2018-07-02,L1,7,Accumulation,FAO,0.4324409318852408
BN-DIEGO-ALTO,2018-07-02,L1,7,Accumulation,SG,0.3637739696457689
BN-DIEGO-ALTO,2018-07-02,L2,7,Accumulation,Obs,0.22141535154507944
BN-DIEGO-ALTO,2018-07-02,L2,7,Accumulation,CLSM,0.2730068983357156
BN-DIEGO-ALTO,2018-07-02,L2,7,Accumulation,FAO,0.31897616242909765
BN-DIEGO-ALTO,2018-07-02,L2,7,Accumulation,SG,0.3872738838163361
BN-DIEGO-ALTO,2018-07-03,L1,7,Accumulation,Obs,0.19901098644423448
BN-DIEGO-ALTO,2018-07-03,L1,7,Accumulation,CLSM,0.37502016151286754
BN-DIEGO-ALTO,2018-07-03,L1,7,Accumulation,FAO,0.4418047789526797
BN-DIEGO-ALTO,2018-07-03,L1,7,Accumulation,SG,0.3741187005171454
BN-DIEGO-ALTO,2018-07-03,L2,7,Accumulation,Obs,0.21452250234260337
BN-DIEGO-ALTO,2018-07-03,L2,7,Accumulation,CLSM,0.27438580916016797
BN-DIEGO-ALTO,2018-07-03,L2,7,Accumulation,FAO,0.3206916880868385
BN-DIEGO-ALTO,2018-07-03,L2,7,Accumulation,SG,0.3881475007484972
BN-DIEGO-ALTO,2018-10-09,L1,10,Accumulation,Obs,0.26068183148585927
BN-DIEGO-ALTO,2018-10-09,L1,10,Accumulation,CLSM,0.43228261466500584
BN-DIEGO-ALTO,2018-10-09,L1,10,Accumulation,FAO,0.47789943811602364
BN-DIEGO-ALTO,2018-10-09,L1,10,Accumulation,SG,0.4581863118943491
